kind,scenario_id,turn,ok,elapsed_ms,http_status,selected_model,selected_decision,confidence,keywords,embeddings,structure,language,context,conversation,authz,pii,jailbreak,projections,request_body_recorded,response_model,prompt_tokens,completion_tokens,total_tokens
single,simple_account_short,,True,16558.57,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_simple,account_management,,,short_context,,,,,low_escalation,True,qwen35-2b,27,15,42
single,technical_support_complex,,True,25667.52,200,qwen35-27b-fp8,fused-signal-hybrid-selector,1.0000,explicit_complex,technical_support,,,short_context,,,,,low_escalation,True,qwen35-27b-fp8,27,96,123
single,many_questions_incident,,True,2944.26,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_complex,technical_support,many_questions,,short_context,,,,,high_escalation,True,qwen35-2b,40,96,136
single,numbered_steps_architecture,,True,10779.2,200,qwen35-27b-fp8,fused-signal-hybrid-selector,1.0000,explicit_complex,,,,short_context,,,,,low_escalation,True,qwen35-27b-fp8,37,96,133
single,first_then_chinese,,True,2927.29,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_simple,,first_then_flow,zh,short_context,,,,,low_escalation,True,qwen35-2b,27,96,123
single,long_context_root_cause,,True,26799.51,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_complex,,,,long_context,,,,,high_escalation,True,qwen35-2b,2094,96,2190
single,jailbreak_guarded,,True,2309.77,200,qwen35-2b,fused-signal-hybrid-selector,0.9239,,,,,short_context,,,,prompt_injection,low_escalation,True,qwen35-2b,29,72,101
single,pii_guarded_fake,,True,3037.01,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,,,,,short_context,,,restricted_pii,,low_escalation,True,qwen35-2b,61,96,157
single,critical_payment_event,,True,2956.64,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_complex,,,,short_context,,,,,low_escalation,True,qwen35-2b,34,96,130
single,authz_admin_policy,,True,10649.07,200,qwen35-27b-fp8,fused-signal-hybrid-selector,1.0000,explicit_complex,,,,short_context,,"admin,premium_user",,,low_escalation,True,qwen35-27b-fp8,26,96,122
single,no_signal_default,,True,684.78,200,qwen35-2b,fused-signal-hybrid-selector,0.9984,,account_management,,,short_context,,,,prompt_injection,low_escalation,True,qwen35-2b,14,10,24
multi,multi_topic_switch_account_to_incident_to_chinese,,True,872.61,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_simple,account_management,,,long_context,,,,,low_escalation,True,qwen35-2b,27,19,46
multi,multi_topic_switch_account_to_incident_to_chinese,,True,1813.38,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_complex,technical_support,,,long_context,multi_turn_user,,,,high_escalation,True,qwen35-2b,73,42,115
multi,multi_topic_switch_account_to_incident_to_chinese,,True,1682.87,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_simple,,,zh,long_context,multi_turn_user,,,,low_escalation,True,qwen35-2b,137,22,159
multi,multi_wrong_answer_feedback,,True,973.84,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,explicit_simple,,,,short_context,,,,,low_escalation,True,qwen35-2b,20,25,45
multi,multi_wrong_answer_feedback,,True,10998.9,200,qwen35-27b-fp8,fused-signal-hybrid-selector,1.0000,,,,,long_context,multi_turn_user,,,,low_escalation,True,qwen35-27b-fp8,67,96,163
multi,multi_reask_same_question,,True,2769.25,200,qwen35-2b,default-small-no-signal,0.0000,,,,,short_context,,,,,low_escalation,True,qwen35-2b,23,96,119
multi,multi_reask_same_question,,True,3277.96,200,qwen35-2b,fused-signal-hybrid-selector,1.0000,,,,,long_context,multi_turn_user,,,,low_escalation,True,qwen35-2b,140,96,236
